Employee ID,Name,Role,Department,Experience Level,Years of Experience,AutoCAD,Autodesk Inventor,OpenCascade,Three.js,Eyeshot,HOOPS,JavaScript,C#,Python,React,Node.js,ASP.NET,Unity,Unreal Engine,Revit,Navisworks,Current Project,Client,Availability Status,Next Availability Date
EMP0011,Sarah Robinson,Developer,CAD,Mid,3,3,2,0,3,0,2,3,3,1,3,1,2,1,2,2,2,Evolve Leading-Edge Users,Dassault,Unavailable,2025-07-28
EMP0012,Chloe Sweeney,Tester,Game Testing,Senior,7,3,3,1,1,2,2,1,3,0,2,2,3,3,0,3,1,Transition Rich Schemas,Roblox,Unavailable,2025-06-30
EMP0013,Erica Huerta,Tester,BIM,Senior,18,3,3,3,2,2,1,3,2,3,1,2,3,2,3,2,3,Enhance Collaborative Synergies,Siemens,Partially Available,2025-08-05
EMP0014,Jason Poole,Developer,Game Testing,Mid,11,3,3,2,3,1,3,1,3,3,2,2,2,2,1,2,3,Whiteboard Revolutionary Bandwidth,Siemens,Partially Available,2025-06-15
EMP0015,Christine Hill,Tester,CAD,Junior,18,1,1,2,3,2,2,1,3,2,2,3,2,3,2,3,2,Empower Interactive Mindshare,Roblox,Unavailable,2025-08-11
EMP0016,Kelsey Graham,Tester,Game Testing,Senior,12,3,1,3,0,1,3,2,0,2,1,3,1,3,3,1,3,Re-Intermediate Visionary Architectures,Autodesk,Available,2025-05-28
EMP0017,Courtney Stanley,Tester,CAD,Junior,2,1,1,3,2,2,1,3,2,2,3,2,1,0,3,3,1,Re-Intermediate Synergistic Networks,Dassault,Unavailable,2025-07-29
EMP0018,Andrew Harris,Designer,Game Testing,Senior,16,3,0,2,3,3,2,2,2,1,1,3,2,3,0,1,3,Empower Ubiquitous Info-Mediaries,Siemens,Partially Available,2025-05-27
EMP0019,Adrienne Fuller,Developer,BIM,Mid,3,1,2,0,3,3,2,1,3,3,3,3,2,3,3,2,1,Strategize Plug-And-Play Action-Items,Dassault,Unavailable,2025-06-11
EMP0020,John Rogers,Developer,BIM,Junior,7,3,2,1,3,2,3,2,3,2,2,1,2,2,2,3,2,Iterate One-To-One E-Tailers,Epic Games,Unavailable,2025-07-14
EMP0021,Autumn Moran,Tester,Game Testing,Junior,14,1,0,3,1,3,2,1,3,3,3,3,1,1,3,3,2,Evolve Innovative Bandwidth,Epic Games,Partially Available,2025-06-15
EMP0022,Rita Wolfe,Tester,Game Testing,Mid,20,3,3,3,2,2,2,2,3,2,3,3,1,3,2,2,3,Scale Collaborative Interfaces,Epic Games,Available,2025-07-25
EMP0023,Amber Miller,Tester,CAD,Senior,11,2,3,3,3,0,1,1,3,3,2,2,3,2,3,3,2,Productize Innovative Solutions,Dassault,Partially Available,2025-06-03
EMP0024,Jessica Hall,Developer,Game Testing,Senior,12,3,3,2,3,1,0,3,3,3,1,2,1,3,2,2,2,Productize B2B Interfaces,Autodesk,Available,2025-07-14
EMP0025,Melissa Green,Tester,CAD,Senior,14,2,3,3,3,3,1,2,2,1,2,3,0,3,2,3,1,Incentivize Viral Markets,Autodesk,Unavailable,2025-07-23
EMP0026,Ashley Cisneros,Developer,CAD,Junior,4,3,3,3,0,3,3,3,0,2,0,3,3,3,1,2,1,Scale E-Business Relationships,Roblox,Partially Available,2025-06-19
EMP0027,Barbara Thompson,Tester,Game Testing,Mid,3,3,2,3,1,1,2,2,3,3,3,2,3,3,2,2,0,Embrace Compelling Markets,Dassault,Unavailable,2025-07-19
EMP0028,Pamela Rowland,Designer,CAD,Mid,11,2,3,3,0,0,0,3,2,1,3,3,2,2,3,2,1,Unleash Enterprise Roi,Roblox,Available,2025-07-13
EMP0029,Joseph Mathis,Developer,CAD,Senior,5,3,1,1,3,3,2,2,3,1,3,2,2,0,3,3,0,Transform One-To-One Convergence,Siemens,Unavailable,2025-05-27
EMP0030,Kristin Prince,Developer,Game Testing,Senior,18,0,2,1,2,3,3,3,3,2,2,2,3,2,3,1,3,E-Enable Open-Source Networks,Autodesk,Partially Available,2025-07-20
EMP0031,Ms. Krystal Gomez MD,Developer,BIM,Junior,6,1,2,3,3,1,3,2,3,2,2,1,1,1,2,3,2,Syndicate Scalable Solutions,Epic Games,Available,2025-08-17
EMP0032,Amy Pittman,Designer,Game Testing,Mid,1,3,3,1,3,3,3,1,3,2,1,2,2,3,0,3,3,Optimize Back-End E-Markets,Autodesk,Partially Available,2025-07-30
EMP0033,Jennifer Simpson,Developer,BIM,Senior,5,1,0,3,3,2,2,2,2,2,2,2,2,3,1,1,3,Seize Rich E-Services,Dassault,Unavailable,2025-06-12
EMP0034,John Kirby,Designer,BIM,Mid,4,2,2,3,3,1,2,3,3,3,1,3,2,0,3,3,1,Scale Cross-Platform Info-Mediaries,Epic Games,Unavailable,2025-06-26
EMP0035,Jessica Riley,Designer,Game Testing,Junior,8,1,0,3,2,2,2,1,3,3,3,2,3,3,3,1,3,Evolve Best-Of-Breed Mindshare,Autodesk,Unavailable,2025-06-18
EMP0036,Caleb Dominguez,Developer,BIM,Senior,1,3,3,3,2,3,2,3,2,2,3,2,1,3,1,2,3,Enable Distributed Web-Readiness,Siemens,Unavailable,2025-06-26
EMP0037,Donna Martinez,Designer,Game Testing,Mid,17,0,2,1,3,2,3,2,3,3,2,2,1,3,1,2,2,Incubate Plug-And-Play Models,Roblox,Available,2025-08-05
EMP0038,Brad Cox,Tester,Game Testing,Senior,14,3,2,1,3,1,2,1,3,1,1,0,3,2,3,3,3,Redefine Back-End Vortals,Dassault,Unavailable,2025-07-17
EMP0039,Nicole Bowen,Designer,CAD,Senior,16,3,0,2,0,3,1,3,1,2,3,2,3,1,2,3,2,Synthesize Value-Added Vortals,Dassault,Partially Available,2025-06-23
EMP0040,Alexandria Williams,Designer,Game Testing,Junior,3,1,1,2,2,0,2,3,3,2,3,1,3,1,1,2,1,Monetize Magnetic Portals,Dassault,Available,2025-07-06
EMP0041,Jonathan White,Developer,BIM,Junior,5,0,2,3,3,2,0,2,2,1,3,3,2,3,3,3,3,Exploit Virtual Portals,Siemens,Partially Available,2025-07-26
EMP0042,Michael Hart,Developer,CAD,Senior,10,3,3,2,2,3,3,3,2,3,3,2,2,3,2,1,2,Engineer Integrated Initiatives,Autodesk,Partially Available,2025-08-21
EMP0043,Caroline Green,Developer,CAD,Junior,17,3,1,0,1,1,1,2,3,1,1,2,3,2,3,3,2,Enable Real-Time Models,Dassault,Partially Available,2025-06-26
EMP0044,Elizabeth Thomas,Tester,BIM,Mid,2,3,3,0,2,3,1,2,0,3,3,3,3,0,3,3,3,Synthesize B2B Platforms,Epic Games,Unavailable,2025-06-10
EMP0045,Brooke Anderson,Developer,CAD,Mid,8,3,3,3,2,2,3,3,2,2,3,1,0,3,2,2,1,Brand Visionary Markets,Dassault,Partially Available,2025-07-16
EMP0046,Lee Torres,Designer,Game Testing,Junior,15,2,3,3,1,2,1,3,0,0,0,0,2,2,2,3,2,Morph User-Centric Technologies,Dassault,Partially Available,2025-06-16
EMP0047,Karen Alexander,Tester,CAD,Junior,19,3,0,3,3,3,1,3,0,2,3,1,2,2,1,1,2,Benchmark Killer Eyeballs,Epic Games,Partially Available,2025-06-12
EMP0048,Ryan Stephens,Developer,Game Testing,Mid,19,1,1,3,0,3,2,2,3,2,2,3,1,3,3,2,3,Re-Contextualize Virtual Communities,Dassault,Partially Available,2025-08-17
EMP0049,Andrew Joseph,Developer,BIM,Mid,5,1,3,2,2,3,3,1,1,1,2,3,1,1,2,1,2,Enhance Enterprise E-Markets,Dassault,Unavailable,2025-05-31
EMP0050,Janice Ruiz,Developer,Game Testing,Senior,13,1,2,0,0,3,2,2,3,2,1,3,0,1,0,1,3,Integrate Transparent Convergence,Dassault,Unavailable,2025-08-10
EMP0051,Melissa Hernandez,Designer,CAD,Mid,9,2,1,2,2,3,3,3,1,3,3,1,2,1,3,2,1,Transform World-Class Relationships,Autodesk,Partially Available,2025-07-24
EMP0052,Jeff Williams,Designer,Game Testing,Senior,1,2,3,2,3,2,1,3,2,3,2,3,0,3,1,3,1,Revolutionize Efficient Infrastructures,Autodesk,Partially Available,2025-05-27
EMP0053,Meghan Ramsey,Developer,CAD,Junior,8,2,3,2,3,1,2,2,3,2,2,0,0,2,3,0,3,Transform Integrated Networks,Dassault,Unavailable,2025-06-13
EMP0054,Jesse Gilbert,Designer,CAD,Mid,4,2,2,3,3,2,2,3,2,2,1,3,3,2,3,2,3,Evolve Mission-Critical Web-Readiness,Siemens,Partially Available,2025-06-10
EMP0055,Lori Hill,Designer,BIM,Junior,7,3,1,3,3,3,3,0,1,3,3,3,2,0,1,1,2,Incubate Integrated Info-Mediaries,Siemens,Unavailable,2025-06-11
EMP0056,Leslie Grimes,Designer,CAD,Senior,18,3,0,1,3,0,0,3,2,3,1,1,2,1,3,3,2,E-Enable Holistic Synergies,Autodesk,Unavailable,2025-06-05
EMP0057,William Weaver,Tester,BIM,Senior,12,3,0,1,3,3,1,1,3,3,2,2,3,2,2,3,3,Re-Intermediate Mission-Critical Initiatives,Siemens,Available,2025-07-09
EMP0058,Dana Smith,Developer,Game Testing,Mid,2,3,3,2,3,1,3,2,3,1,1,1,1,1,3,3,3,Integrate Vertical Niches,Epic Games,Unavailable,2025-07-05
EMP0059,Sandra Morrow,Tester,CAD,Mid,4,3,1,1,2,3,2,3,3,3,3,2,1,3,0,2,3,Deliver 24/365 E-Tailers,Siemens,Partially Available,2025-06-24
EMP0060,Victoria Guerrero,Tester,Game Testing,Senior,19,2,1,3,0,1,3,3,3,0,1,3,3,1,1,2,1,Morph Virtual Vortals,Autodesk,Unavailable,2025-07-03
EMP0061,Alexander Torres,Developer,CAD,Junior,4,3,3,2,1,1,2,2,2,2,2,2,2,3,3,0,2,Visualize Robust Portals,Siemens,Unavailable,2025-06-04
EMP0062,Joshua Rodriguez,Developer,Game Testing,Mid,20,3,0,3,3,1,2,1,2,2,2,3,3,3,2,2,2,Integrate Dot-Com Interfaces,Roblox,Partially Available,2025-08-22
EMP0063,Rebecca Cox,Designer,Game Testing,Senior,7,2,0,3,3,0,2,1,0,3,0,2,2,2,1,3,3,Visualize Visionary Interfaces,Autodesk,Available,2025-08-02
EMP0064,Joshua Murphy,Designer,Game Testing,Junior,16,1,2,3,3,2,3,3,2,2,2,0,2,2,3,2,3,Disintermediate Dot-Com Paradigms,Siemens,Available,2025-06-25
EMP0065,Chad Pittman,Designer,BIM,Mid,18,1,3,0,2,3,3,1,2,3,3,3,3,2,3,3,3,Extend One-To-One Methodologies,Roblox,Available,2025-06-22
EMP0066,Brandy Elliott,Tester,Game Testing,Senior,7,3,3,2,1,3,2,0,3,2,2,2,1,3,1,0,3,Morph Innovative Partnerships,Dassault,Unavailable,2025-06-29
EMP0067,Stephanie Boone,Tester,Game Testing,Senior,8,3,2,2,3,3,3,1,3,1,3,3,0,1,3,2,2,Morph Clicks-And-Mortar Architectures,Siemens,Unavailable,2025-08-23
EMP0068,Sean Stewart,Developer,Game Testing,Mid,14,3,2,2,3,2,1,1,3,3,2,3,3,2,1,2,3,Re-Contextualize Global Web Services,Siemens,Available,2025-08-15
EMP0069,Kevin Roberts,Tester,CAD,Senior,3,2,2,2,0,3,2,3,2,3,1,3,3,1,2,1,3,Extend Web-Enabled Info-Mediaries,Autodesk,Partially Available,2025-07-09
EMP0070,Jose Mccullough,Designer,CAD,Senior,3,2,3,1,3,3,3,3,2,2,2,2,3,1,2,3,2,Architect Back-End Deliverables,Siemens,Partially Available,2025-07-13
EMP0071,Melissa Gordon,Tester,CAD,Senior,4,0,3,3,2,1,2,1,3,2,2,2,1,0,2,0,3,Iterate Compelling Methodologies,Epic Games,Available,2025-07-28
EMP0072,Anthony Henderson,Tester,BIM,Senior,3,2,2,2,0,3,2,0,3,2,1,2,3,2,1,2,3,Visualize Intuitive Interfaces,Epic Games,Available,2025-07-07
EMP0073,Melissa Jones,Tester,CAD,Mid,2,1,3,3,3,2,3,2,2,2,3,1,3,2,3,1,2,Evolve Enterprise Niches,Epic Games,Available,2025-06-17
EMP0074,Adam Meyer,Designer,Game Testing,Senior,19,1,1,2,1,3,2,3,2,3,3,1,2,1,3,3,1,Target Magnetic Supply-Chains,Roblox,Partially Available,2025-08-22
EMP0075,Michael Edwards,Tester,Game Testing,Junior,2,2,3,1,3,3,3,3,3,2,2,2,0,3,3,3,3,Transform Next-Generation Networks,Dassault,Partially Available,2025-05-26
EMP0076,Jacqueline Bell,Tester,Game Testing,Junior,9,1,1,3,2,2,3,3,3,1,0,0,3,3,3,1,3,Utilize Synergistic Schemas,Autodesk,Partially Available,2025-07-24
EMP0077,Lisa Williams,Tester,Game Testing,Mid,12,3,3,1,0,2,3,3,1,3,2,3,0,2,2,3,2,E-Enable Cross-Media Web-Readiness,Epic Games,Partially Available,2025-07-24
EMP0078,Morgan Espinoza,Designer,CAD,Mid,1,1,2,3,2,1,2,3,1,2,0,0,2,2,3,3,3,Scale User-Centric Niches,Siemens,Unavailable,2025-06-26
EMP0079,James Austin,Designer,BIM,Mid,6,2,1,1,1,3,1,3,1,3,1,3,0,2,3,3,3,Drive Efficient Web Services,Dassault,Unavailable,2025-06-24
EMP0080,Pamela Johnson,Tester,BIM,Mid,2,3,2,3,1,3,3,2,0,1,2,3,2,3,3,2,1,Exploit One-To-One Technologies,Roblox,Partially Available,2025-06-20
EMP0081,Joseph Mercado,Tester,CAD,Mid,13,3,3,1,2,3,3,0,2,2,2,0,3,3,1,3,1,Synthesize Plug-And-Play Paradigms,Epic Games,Unavailable,2025-06-07
EMP0082,Marcus Thomas,Designer,BIM,Junior,1,3,3,3,1,2,2,3,1,2,3,3,3,1,2,0,3,Redefine B2B Solutions,Siemens,Partially Available,2025-07-07
EMP0083,Gabriela Williams,Tester,BIM,Senior,3,3,2,3,3,3,3,2,1,2,2,3,3,3,2,2,2,Aggregate Viral Paradigms,Epic Games,Partially Available,2025-08-10
EMP0084,Jennifer Thornton,Developer,CAD,Mid,5,3,3,2,1,2,3,1,3,0,2,3,2,3,3,3,3,Revolutionize Next-Generation Mindshare,Autodesk,Partially Available,2025-05-26
EMP0085,Brittany Carey,Tester,Game Testing,Mid,13,3,1,0,1,2,3,0,3,3,1,2,3,3,0,2,2,Repurpose Robust Communities,Epic Games,Available,2025-07-10
EMP0086,Danielle Hardin,Designer,Game Testing,Mid,2,2,2,2,3,3,1,1,3,1,0,0,3,1,3,2,3,Orchestrate Bleeding-Edge Eyeballs,Autodesk,Partially Available,2025-07-12
EMP0087,Mr. Jim Roach,Tester,Game Testing,Senior,1,2,3,3,1,1,3,1,3,3,0,3,1,3,3,3,3,Engage Integrated E-Tailers,Autodesk,Partially Available,2025-07-30
EMP0088,Natalie Pearson,Developer,Game Testing,Senior,1,2,0,3,3,3,3,0,2,0,2,0,0,3,1,2,1,Synergize Turn-Key E-Tailers,Epic Games,Partially Available,2025-06-25
EMP0089,Michelle Bartlett,Developer,BIM,Junior,13,3,3,2,2,3,1,0,3,2,2,2,2,2,2,2,3,Innovate One-To-One Web-Readiness,Siemens,Available,2025-05-26
EMP0090,Ryan Martin,Designer,BIM,Mid,9,2,0,2,2,2,3,3,1,0,2,2,2,2,1,1,1,Deliver Cross-Platform Communities,Epic Games,Unavailable,2025-08-15
EMP0091,Diana Harris,Developer,BIM,Senior,3,2,1,3,2,3,1,2,1,2,2,1,3,0,0,3,3,Drive Rich Applications,Roblox,Partially Available,2025-06-29
EMP0092,Jeffrey Smith,Designer,CAD,Junior,17,1,2,3,0,3,3,0,3,0,0,2,2,3,3,3,3,Cultivate Vertical Vortals,Siemens,Available,2025-06-14
EMP0093,Dana Chang,Developer,BIM,Junior,18,1,0,2,3,2,0,2,1,3,3,3,3,2,1,3,3,Deploy User-Centric Mindshare,Epic Games,Unavailable,2025-07-05
EMP0094,Jennifer Crawford,Tester,BIM,Mid,19,3,3,3,3,0,2,2,3,2,3,2,2,0,1,1,3,Harness Revolutionary Relationships,Siemens,Unavailable,2025-06-27
EMP0095,Steven Rodriguez,Tester,BIM,Junior,17,2,1,3,3,2,3,3,2,1,3,2,0,2,3,3,1,Engineer Impactful Platforms,Roblox,Unavailable,2025-08-09
EMP0096,Patricia Thomas,Designer,Game Testing,Junior,15,2,0,2,2,2,2,1,0,2,0,2,1,0,3,2,3,Optimize Interactive Channels,Dassault,Partially Available,2025-06-29
EMP0097,Mark Reed,Designer,Game Testing,Senior,5,3,2,0,1,3,3,1,3,2,3,0,3,2,3,2,1,Syndicate Interactive Experiences,Epic Games,Partially Available,2025-07-14
EMP0098,Scott Watson,Designer,BIM,Senior,11,3,3,0,2,3,3,3,2,1,1,1,2,3,2,3,3,Benchmark Seamless Initiatives,Autodesk,Available,2025-07-20
EMP0099,Dr. Paula Garrett,Tester,CAD,Senior,8,3,0,3,2,2,1,3,2,2,1,2,3,3,1,2,3,Redefine Open-Source Web-Readiness,Autodesk,Unavailable,2025-08-14
EMP0100,Arthur Wolf,Designer,Game Testing,Junior,18,2,2,0,3,3,0,3,2,1,1,3,2,2,1,2,3,Visualize Innovative Systems,Siemens,Unavailable,2025-08-06
EMP0101,Sandra King,Developer,Game Testing,Senior,18,1,3,0,2,3,3,2,1,3,1,2,2,2,3,3,3,Iterate Synergistic Interfaces,Siemens,Available,2025-07-22
EMP0102,Laura Peterson,Designer,Game Testing,Junior,1,3,3,2,2,2,2,3,0,3,3,1,2,3,1,3,2,Incubate Bleeding-Edge Paradigms,Dassault,Unavailable,2025-06-05
EMP0103,Cory Thomas,Developer,CAD,Junior,8,3,3,0,2,3,1,1,2,1,0,2,1,2,2,2,1,Innovate Bleeding-Edge Supply-Chains,Epic Games,Partially Available,2025-08-06
EMP0104,Robert Jones,Designer,BIM,Mid,9,3,2,2,2,1,2,1,1,3,2,3,3,0,3,2,2,Innovate Bleeding-Edge Networks,Roblox,Available,2025-07-27
EMP0105,Mike Huerta,Developer,Game Testing,Junior,18,0,2,2,2,1,2,3,3,1,3,2,2,2,3,2,3,Synergize E-Business Bandwidth,Siemens,Partially Available,2025-08-05
EMP0106,Matthew Scott,Developer,Game Testing,Mid,19,2,1,3,3,3,3,2,3,3,2,0,3,0,1,0,3,Engage Dynamic Markets,Roblox,Available,2025-08-18
EMP0107,Gary Marshall,Developer,Game Testing,Mid,9,2,3,3,1,0,1,3,0,2,2,3,3,3,3,0,3,Harness Out-Of-The-Box Technologies,Roblox,Partially Available,2025-07-05
EMP0108,Anthony Cantu,Designer,BIM,Junior,2,3,3,1,1,3,1,2,2,3,3,3,2,0,3,3,3,Brand Vertical E-Business,Dassault,Unavailable,2025-05-31
EMP0109,Gilbert Torres,Developer,Game Testing,Mid,7,1,1,2,2,3,1,1,0,1,1,2,3,3,3,1,1,Optimize Cross-Platform E-Tailers,Autodesk,Partially Available,2025-07-29
EMP0110,Courtney Owen,Tester,Game Testing,Mid,17,1,3,3,0,3,3,0,1,2,3,3,2,3,2,0,2,Strategize Robust Bandwidth,Siemens,Partially Available,2025-07-13
EMP0111,Jacqueline Henderson,Designer,BIM,Junior,14,0,3,2,2,2,2,3,3,3,2,1,3,0,0,3,1,Cultivate Web-Enabled Solutions,Roblox,Unavailable,2025-05-29
EMP0112,Cathy Miller,Developer,BIM,Junior,1,3,3,3,1,3,0,2,2,3,3,3,3,0,2,1,2,Monetize Bricks-And-Clicks Roi,Siemens,Unavailable,2025-07-11
EMP0113,Lisa Moore,Designer,BIM,Mid,5,3,1,2,0,3,2,2,1,3,3,2,3,3,3,2,3,Architect Killer Vortals,Epic Games,Partially Available,2025-08-17
EMP0114,Johnny Smith,Tester,Game Testing,Junior,13,1,2,0,1,2,3,3,3,3,3,3,1,1,1,2,2,Seize Holistic Synergies,Epic Games,Partially Available,2025-08-07
EMP0115,Steven Zamora,Designer,BIM,Mid,15,3,3,3,2,3,2,2,3,3,3,3,3,3,2,2,3,Innovate Value-Added Niches,Epic Games,Partially Available,2025-08-05
EMP0116,Jeremy Thomas,Developer,Game Testing,Mid,8,3,2,3,0,0,2,3,3,1,2,3,1,2,3,2,3,Streamline Mission-Critical Mindshare,Epic Games,Unavailable,2025-06-06
EMP0117,Mindy Tucker,Tester,Game Testing,Junior,12,1,2,2,2,2,2,1,3,2,2,2,1,1,3,1,3,Re-Intermediate Wireless Communities,Autodesk,Partially Available,2025-08-03
EMP0118,Lisa Vasquez,Developer,CAD,Senior,3,3,2,0,1,2,2,2,0,2,3,2,2,0,3,2,2,Seize Visionary Platforms,Roblox,Available,2025-08-23
EMP0119,Bryan Tyler,Developer,CAD,Mid,15,3,2,3,3,3,0,1,2,1,3,2,0,2,1,1,3,Maximize Integrated Action-Items,Epic Games,Unavailable,2025-07-23
EMP0120,Samuel Castro DDS,Developer,Game Testing,Senior,16,2,3,2,0,0,1,0,3,2,1,3,3,2,3,2,1,Monetize One-To-One Users,Dassault,Available,2025-06-17
EMP0121,Denise Armstrong,Developer,CAD,Senior,9,3,3,2,3,2,3,3,2,2,3,3,3,3,2,1,2,Exploit Holistic E-Business,Siemens,Available,2025-06-01
EMP0122,Hunter Lane,Tester,Game Testing,Mid,18,3,3,0,3,2,3,3,2,3,2,2,3,0,3,3,1,Extend Next-Generation Users,Epic Games,Partially Available,2025-08-08
EMP0123,Ryan Ross,Designer,CAD,Mid,18,1,1,3,1,2,2,3,3,3,2,3,3,3,1,3,2,Visualize Scalable Partnerships,Epic Games,Unavailable,2025-08-10
EMP0124,Noah Banks,Developer,CAD,Senior,5,1,3,3,2,1,0,2,1,3,2,2,2,3,3,1,3,Integrate Mission-Critical Infrastructures,Autodesk,Partially Available,2025-08-09
EMP0125,Miguel Williams,Tester,BIM,Mid,18,3,2,2,3,1,3,3,3,0,0,1,2,3,2,2,3,Leverage Wireless Info-Mediaries,Epic Games,Available,2025-08-19
EMP0126,Jesse Peters,Tester,BIM,Mid,20,1,2,2,2,2,0,3,1,0,0,3,2,1,3,2,3,Extend Best-Of-Breed Networks,Epic Games,Partially Available,2025-07-27
EMP0127,Jacob Cardenas,Tester,BIM,Mid,7,1,1,2,1,3,0,2,2,2,2,0,1,2,1,3,3,Unleash Value-Added Models,Siemens,Partially Available,2025-08-08
EMP0128,Jason Wright,Designer,CAD,Senior,17,2,3,1,3,1,3,3,1,3,1,1,1,3,3,3,1,Engineer Efficient Mindshare,Epic Games,Unavailable,2025-07-14
EMP0129,Mark Fox,Tester,BIM,Mid,9,3,2,2,1,2,2,3,3,3,1,3,3,3,2,3,1,Productize Holistic Metrics,Roblox,Unavailable,2025-06-11
EMP0130,Richard Lawson,Developer,BIM,Junior,16,1,3,3,2,1,2,3,3,3,2,3,0,1,1,3,3,Matrix Transparent Schemas,Siemens,Available,2025-08-20
EMP0131,Walter Thomas,Developer,Game Testing,Junior,5,3,2,2,0,1,1,3,2,1,3,2,1,2,3,1,1,Repurpose Enterprise Partnerships,Epic Games,Partially Available,2025-07-25
EMP0132,Adam Brown,Tester,Game Testing,Senior,3,3,1,2,1,2,1,3,2,1,3,1,2,3,3,3,3,Enhance Wireless Metrics,Roblox,Partially Available,2025-08-13
EMP0133,Tyler Patel,Tester,BIM,Junior,7,3,0,1,2,3,3,2,3,0,3,1,3,1,3,2,3,Repurpose Ubiquitous Info-Mediaries,Siemens,Unavailable,2025-07-10
EMP0134,Mariah Alvarez,Designer,BIM,Junior,4,3,2,2,2,3,2,1,0,1,2,2,3,3,3,1,2,Extend Cross-Platform Content,Siemens,Available,2025-06-02
EMP0135,Roberta Rogers,Tester,BIM,Senior,2,2,2,2,0,0,3,2,0,0,2,2,2,2,3,2,1,Morph Distributed Relationships,Roblox,Partially Available,2025-07-11
EMP0136,Kimberly Lopez,Designer,BIM,Junior,9,3,1,3,0,3,0,3,1,3,3,2,3,3,2,3,0,Implement Value-Added E-Commerce,Siemens,Unavailable,2025-06-12
EMP0137,Christopher Gardner,Developer,CAD,Mid,3,1,1,3,2,3,2,2,1,0,3,1,0,1,1,1,3,Repurpose Visionary Convergence,Dassault,Available,2025-08-07
EMP0138,Joseph Obrien,Tester,BIM,Mid,3,3,1,3,0,1,2,2,1,2,3,1,3,3,3,2,2,Harness B2B E-Commerce,Roblox,Available,2025-07-07
EMP0139,Dr. Kathryn Smith,Developer,CAD,Junior,10,2,1,3,1,3,2,3,3,2,1,0,2,0,1,2,1,Synergize Customized Relationships,Epic Games,Available,2025-08-01
EMP0140,Amanda Gordon,Developer,CAD,Senior,2,3,2,1,2,1,3,2,3,3,2,3,3,2,3,3,3,Enable Out-Of-The-Box Info-Mediaries,Roblox,Available,2025-06-14
EMP0141,Angela Acosta,Tester,CAD,Senior,14,3,3,1,3,1,2,3,1,2,3,3,2,3,2,0,3,Brand Magnetic Methodologies,Siemens,Partially Available,2025-08-09
EMP0142,Alexis Barnes,Designer,BIM,Mid,6,2,2,3,3,1,3,3,3,1,3,3,3,2,1,0,2,Brand Plug-And-Play Networks,Siemens,Available,2025-06-06
EMP0143,Katie Sanders,Developer,Game Testing,Junior,8,2,0,3,3,1,3,2,3,3,3,3,0,0,0,0,2,Deliver Granular E-Business,Roblox,Available,2025-08-09
EMP0144,Taylor Brady,Tester,BIM,Junior,7,2,2,3,2,0,1,1,3,3,3,3,3,0,3,3,0,Evolve Next-Generation Metrics,Siemens,Available,2025-08-05
EMP0145,Michael Bradford,Designer,CAD,Senior,20,2,2,2,1,2,3,2,3,2,3,3,0,1,3,2,2,Optimize Innovative Solutions,Autodesk,Available,2025-06-01
EMP0146,Melanie Jimenez,Developer,BIM,Senior,20,3,3,3,3,1,1,3,0,3,2,3,2,1,3,3,3,Deliver Turn-Key Models,Dassault,Available,2025-08-06
